name,id,year,runtime,certificate,poster_link,metascore,director,stars,gross,genres,imdb_rating
Divertida Mente,tt2096673,I) (2015,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_UY209_CR0,0,140,209_AL_.jpg",94,[],"['Pete Docter', 'Ronnie Del Carmen', 'Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']",,[],8.1
Porco Rosso: O Último Herói Romântico,tt0104652,1992,94 min,Livre,"https://m.media-amazon.com/images/M/MV5BNTZjMDc2N2UtZTdjZi00ODljLTgyZmEtNDljZDAwODY4NDVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",83,[],"['Hayao Miyazaki', 'Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura Vi', 'Tsunehiko Kamijô']",,[],7.7
Procurando Dory,tt2277860,2016,97 min,Livre,"https://m.media-amazon.com/images/M/MV5BYWVmYTcwZDYtYzNmNC00M2U2LWFjZWYtOWRlY2NiNjc5ZjdiXkEyXkFqcGdeQXVyNjY5Mjg5MjA@._V1_UY209_CR3,0,140,209_AL_.jpg",77,[],"['Andrew Stanton', 'Angus MacLane', 'Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson']",,[],7.3
Os Jovens Titãs em Ação! Nos Cinemas,tt7424200,2018,84 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTZhMTIwZDUtYjZjZS00MmViLTg3NzEtNWE5NzI1NDUwNDJmXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UY209_CR0,0,140,209_AL_.jpg",69,[],"['Aaron Horvath', 'Peter Rida Michail', 'Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong']",,[],6.7
A Pequena Sereia,tt0097757,1989,83 min,Livre,"https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_UX140_CR0,0,140,209_AL_.jpg",88,[],"['Ron Clements', 'John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois', 'Christopher Daniel Barnes']",,[],7.6
Minha Vida de Abobrinha,tt2321405,2016,66 min,10,"https://m.media-amazon.com/images/M/MV5BZWVmOTQ2NTQtN2U3OS00YjMxLThmNDAtNDg3NmMzMTgzNWYwXkEyXkFqcGdeQXVyNDA5NTgxNjU@._V1_UY209_CR1,0,140,209_AL_.jpg",85,[],"['Claude Barras', 'Gaspard Schlatter', 'Sixtine Murat', 'Paulin Jaccoud', 'Michel Vuillermoz']",,[],7.8
O Castelo de Cagliostro,tt0079833,1979,100 min,10,"https://m.media-amazon.com/images/M/MV5BYzYyNjg3OTctNzA2ZS00NjkzLWE4MmYtZDAzZWQ0NzkyMTJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",72,[],"['Hayao Miyazaki', 'Yasuo Yamada', 'Eiko Masuyama', 'Kiyoshi Kobayashi', 'Makio Inoue']",,[],7.6
Kung Fu Panda,tt0441773,2008,92 min,Livre,"https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg",74,[],"['Mark Osborne', 'John Stevenson', 'Jack Black', 'Ian McShane', 'Angelina Jolie', 'Dustin Hoffman']",,[],7.6
Bambi,tt0034492,1942,69 min,Livre,"https://m.media-amazon.com/images/M/MV5BY2JhMTJmYjYtNTVkYi00OWE3LWJlMjEtOWI4MTFkMjJhMmQ3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg",91,[],"['James Algar', 'Samuel Armstrong', 'David Hand', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright', 'Arthur Davis', 'Clyde Geronimi', 'Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn']",,[],7.3
Frankenweenie,tt1142977,2012,87 min,10,"https://m.media-amazon.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg",74,[],"['Tim Burton', 'Winona Ryder', ""Catherine O'Hara"", 'Martin Short', 'Martin Landau']",,[],6.9
Uma Aventura Lego 2,tt3513498,2019,107 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",65,[],"['Mike Mitchell', 'Chris Pratt', 'Elizabeth Banks', 'Will Arnett', 'Tiffany Haddish']",,[],6.6
A Era do Gelo,tt0268380,2002,81 min,Livre,"https://m.media-amazon.com/images/M/MV5BOGEwMTQyMDktMWUwZC00MzExLTg1MGMtYWJiNWNhMzIyMGU5XkEyXkFqcGdeQXVyOTYyMTY2NzQ@._V1_UY209_CR0,0,140,209_AL_.jpg",61,[],"['Chris Wedge', 'Carlos Saldanha', 'Denis Leary', 'John Leguizamo', 'Ray Romano', 'Goran Visnjic']",,[],7.5
A Família Mitchell e a Revolta das Máquinas,tt7979580,2021,114 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjdkZjNjNDItYzc4MC00NTkxLTk1MWEtY2UyZjY5MjUwNDNkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_UY209_CR0,0,140,209_AL_.jpg",81,[],"['Michael Rianda', 'Jeff Rowe', 'Abbi Jacobson', 'Danny McBride', 'Maya Rudolph', 'Michael Rianda']",,[],7.6
